ModelName,DatasetName,Seed,EventId,CI,IBS,MAEH,MAEM,MAEPO,DCalib,GlobalCI,LocalCI
deepsurv,seer_cr,0,1,0.606614820928033,0.0977568617784055,7.669535895330735,22.53420445446861,66.95292655934772,0.9469442724722464,0.7111460786229055,0.7899686520376176
deepsurv,seer_cr,0,2,0.732988674365124,0.1569283553834629,18.72006496723328,29.349322392710448,37.31640400052135,0.0127187253586372,0.7111460786229055,0.7899686520376176
deephit,seer_cr,0,1,0.5651931669891138,0.1047794618978018,17.6781170238846,108.49454341077868,130.19697863413586,0.0003937239455338,0.7204878180478137,0.7863860277653381
deephit,seer_cr,0,2,0.7529378082115736,0.1705274640007349,20.333215582978788,27.937720256905603,37.14350777219423,1.140449000382456e-16,0.7204878180478137,0.7863860277653381
hierarch,seer_cr,0,1,0.5664095698558397,0.158589840160427,7.658838613327147,47.56054888951818,93.4730559475798,5.168493021388696e-87,0.7102572698541193,0.7053291536050157
hierarch,seer_cr,0,2,0.7403153331434933,0.1574884768221167,18.390569244118428,26.54741851173363,35.89135024552064,4.850083761159275e-06,0.7102572698541193,0.7053291536050157
mtlrcr,seer_cr,0,1,0.5426226826541444,0.1385323787159095,7.485082964539121,43.90952903036968,90.92485540498195,1.0196233872615499e-79,0.6638617072228626,0.7407075682937752
mtlrcr,seer_cr,0,2,0.6891955170347129,0.1723582662514508,18.87082547974716,31.70805685290184,41.17289524573454,1.5328325079431058e-17,0.6638617072228626,0.7407075682937752
dsm,seer_cr,0,1,0.6059100698232465,0.0996285029570204,13.61191855982394,63.77253206757152,91.26037465243851,0.0706448342065514,0.7247475525871435,0.7953425884460367
dsm,seer_cr,0,2,0.7495795421018167,0.1512481270717347,20.969573316512992,44.513263966767006,47.66270065443111,0.0010001166446664,0.7247475525871435,0.7953425884460367
mensa,seer_cr,0,1,0.579648559196018,0.0981557134656977,7.411798962196646,23.38411768831917,68.7629705008321,0.2990493851838003,0.7290842421071719,0.7890729959695477
