ModelName,DatasetName,Seed,EventId,CI,IBS,MAEM,DCalib,GlobalCI,LocalCI
with_trajectory,rotterdam_me,0,1,0.7110313813186543,0.1662257026725985,1172.4256562629178,0.9894764956392984,0.7129727725394639,0.8905325443786982
with_trajectory,rotterdam_me,0,2,0.7152416783939803,0.2465285737587782,2562.796134594802,0.446763305872586,0.7129727725394639,0.8905325443786982
with_trajectory,ebmt_me,0,1,0.5796063402292008,0.4144933839621386,1695.9038761252602,5.272881762090008e-54,0.5471615381453282,0.6832678025338575
with_trajectory,ebmt_me,0,2,0.5076522575403339,0.2379463361172716,6698.224969075764,1.0214547256764347e-41,0.5471615381453282,0.6832678025338575
with_trajectory,ebmt_me,0,3,0.583925724871828,0.2311243443333061,5144.948207861214,3.9837758460130064e-15,0.5471615381453282,0.6832678025338575
with_trajectory,ebmt_me,0,4,0.4622229977316349,0.1780052199902767,4735.249168870383,0.0002219545555969,0.5471615381453282,0.6832678025338575
with_trajectory,ebmt_me,0,5,0.5719070133963751,0.2098535619020471,8414.611063353732,0.1493875232797059,0.5471615381453282,0.6832678025338575
no_trajectory,rotterdam_me,0,1,0.7100729855257661,0.165091012114466,1183.026390563263,0.9601238663731164,0.7116661369495356,0.893491124260355
no_trajectory,rotterdam_me,0,2,0.7135280546062016,0.2587547457308705,2569.0750087268148,0.8234645756629372,0.7116661369495356,0.893491124260355
no_trajectory,ebmt_me,0,1,0.5808155975591606,0.4140676480784029,1687.7615718957372,1.2149380129084217e-52,0.5521812011564865,0.691131498470948
no_trajectory,ebmt_me,0,2,0.5100399608681955,0.2384200901433457,6699.528941031174,1.239385409568094e-40,0.5521812011564865,0.691131498470948
no_trajectory,ebmt_me,0,3,0.5851320494593081,0.2321783970778432,5200.0782950588455,8.465575517283655e-25,0.5521812011564865,0.691131498470948
no_trajectory,ebmt_me,0,4,0.4640987611237131,0.1784760503795144,4780.148977962861,0.0002204700803427,0.5521812011564865,0.691131498470948
no_trajectory,ebmt_me,0,5,0.5941686367218282,0.2134323435953595,8456.589371030292,0.0038113329270387,0.5521812011564865,0.691131498470948
with_trajectory,rotterdam_me,1,1,0.6967188155804824,0.1846678744552963,1240.7069511487753,0.0177786234322295,0.7009136486281913,0.9036144578313252
with_trajectory,rotterdam_me,1,2,0.7058583859608277,0.2499744607221653,2576.111420280462,0.9013131489409372,0.7009136486281913,0.9036144578313252
with_trajectory,ebmt_me,1,1,0.535187265917603,0.382043199260542,1801.876066345846,6.626874707971543e-37,0.5603155013730321,0.6824912891986062
with_trajectory,ebmt_me,1,2,0.5395387286103993,0.2361807496382742,6609.54590905416,2.90243739949079e-44,0.5603155013730321,0.6824912891986062
with_trajectory,ebmt_me,1,3,0.6116400292939301,0.2132852917581868,5105.58606446053,8.624763048555747e-10,0.5603155013730321,0.6824912891986062
with_trajectory,ebmt_me,1,4,0.4856537038707931,0.1820072103763957,5543.007730864439,0.2321767208555258,0.5603155013730321,0.6824912891986062
with_trajectory,ebmt_me,1,5,0.6107248720021557,0.2051218629036987,8752.574061313679,0.0041605838853153,0.5603155013730321,0.6824912891986062
no_trajectory,rotterdam_me,1,1,0.6978545152290739,0.1854577107747642,1218.6631109549878,0.1048127376620698,0.7052993401426574,0.891566265060241
no_trajectory,rotterdam_me,1,2,0.7140750657237371,0.2524510633614589,2551.231856267338,0.9606888010637882,0.7052993401426574,0.891566265060241
no_trajectory,ebmt_me,1,1,0.5454494382022472,0.3862240524914309,1589.122951611773,1.1315636450231058e-50,0.5525509251458419,0.681184668989547
no_trajectory,ebmt_me,1,2,0.5312722162519633,0.2335701016821333,6594.399807293057,1.515382162827702e-75,0.5525509251458419,0.681184668989547
no_trajectory,ebmt_me,1,3,0.6005686468789041,0.2121068770468824,5123.564967587024,6.815015158017166e-10,0.5525509251458419,0.681184668989547
no_trajectory,ebmt_me,1,4,0.4436073265361364,0.1836474081560594,5700.413101714096,0.4680799407289395,0.5525509251458419,0.681184668989547
no_trajectory,ebmt_me,1,5,0.6024521692266236,0.2063743843758611,9246.785767701123,0.3425981478805868,0.5525509251458419,0.681184668989547
with_trajectory,rotterdam_me,2,1,0.6724811564947011,0.2005844676608092,1302.4480812645918,0.5617035446987386,0.6833469412704719,0.9014925373134328
with_trajectory,rotterdam_me,2,2,0.695919155388542,0.2103127156564129,2414.6162735917787,0.9738698334489868,0.6833469412704719,0.9014925373134328
with_trajectory,ebmt_me,2,1,0.584407807324513,0.4033854475333437,1650.3344352200156,1.2159176121007545e-42,0.5301209234151704,0.6708750544188071
with_trajectory,ebmt_me,2,2,0.4873816775043213,0.2323489972254865,6645.858483317779,7.102050843990758e-48,0.5301209234151704,0.6708750544188071
with_trajectory,ebmt_me,2,3,0.5494301260664144,0.1878259613258467,5327.784293988317,5.426376654868133e-07,0.5301209234151704,0.6708750544188071
with_trajectory,ebmt_me,2,4,0.4777536264028745,0.1738016823596687,4916.694084944807,0.0044946407096259,0.5301209234151704,0.6708750544188071
with_trajectory,ebmt_me,2,5,0.5304851635260992,0.2036455478414592,9288.271852439955,0.0397123557432706,0.5301209234151704,0.6708750544188071
no_trajectory,rotterdam_me,2,1,0.673873052566461,0.2002386246887635,1283.0443965633908,0.682482030678998,0.6858487641518908,0.9014925373134328
no_trajectory,rotterdam_me,2,2,0.6997052147788169,0.205600587364488,2399.705438199984,0.8607748081571559,0.6858487641518908,0.9014925373134328
no_trajectory,ebmt_me,2,1,0.5929599341280386,0.3996776708699822,1701.7781409877032,4.057097609329225e-44,0.5287238915353609,0.6700043535045712
