ModelName,DatasetName,Seed,EventId,CI,IBS,MAEM,DCalib,GlobalCI,LocalCI
with_shared,proact_me,0,1,0.7442648761287335,0.3130546781844042,121.70430237839489,0.9999706901550616,0.709519802996101,0.754870865428183
with_shared,proact_me,0,2,0.7470682806884812,0.1471963968017003,111.56498037200316,0.9998249324934432,0.709519802996101,0.754870865428183
with_shared,proact_me,0,3,0.6633566351750563,0.1777341114293161,143.47062238464457,0.3270063178746144,0.709519802996101,0.754870865428183
with_shared,proact_me,0,4,0.7056280344607126,0.1772980657939678,133.53263603908573,0.4231240593643201,0.709519802996101,0.754870865428183
with_shared,rotterdam_me,0,1,0.7110313813186543,0.1662257026725985,1172.4256562629178,0.9894764956392984,0.7129727725394639,0.8905325443786982
with_shared,rotterdam_me,0,2,0.7152416783939803,0.2465285737587782,2562.796134594802,0.446763305872586,0.7129727725394639,0.8905325443786982
no_shared,proact_me,0,1,0.7421347534151423,0.3105098599365918,126.66778138970696,0.999796947302634,0.7081428278268007,0.7521522428636158
no_shared,proact_me,0,2,0.7525416114999054,0.1462451350769429,110.37439767261712,0.9914149416095912,0.7081428278268007,0.7521522428636158
no_shared,proact_me,0,3,0.6578797273977011,0.1805024733903619,143.98926433903165,0.3633816911420851,0.7081428278268007,0.7521522428636158
no_shared,proact_me,0,4,0.7046468789760535,0.1763988205627649,132.34105458020903,0.5659792628048264,0.7081428278268007,0.7521522428636158
no_shared,rotterdam_me,0,1,0.7047649472882314,0.1684425183291313,1214.8870352652066,0.9628052026201136,0.711741180209768,0.8875739644970414
no_shared,rotterdam_me,0,2,0.7198943105775583,0.2533109399226854,2530.1111233477027,0.4228965111736448,0.711741180209768,0.8875739644970414
with_shared,proact_me,1,1,0.746593457137929,0.3176289483062101,126.82095964289856,0.6659951533002375,0.7114682714833803,0.7659286037053773
with_shared,proact_me,1,2,0.7409021260294962,0.1496516881782715,119.09113870540716,0.987993193645345,0.7114682714833803,0.7659286037053773
with_shared,proact_me,1,3,0.671789008909564,0.1775110144430083,147.19462325146424,0.1942145822141635,0.7114682714833803,0.7659286037053773
with_shared,proact_me,1,4,0.7044926017735299,0.2040562505587223,138.91673109289306,0.002168839847589,0.7114682714833803,0.7659286037053773
with_shared,rotterdam_me,1,1,0.6967188155804824,0.1846678744552963,1240.7069511487753,0.0177786234322295,0.7009136486281913,0.9036144578313252
with_shared,rotterdam_me,1,2,0.7058583859608277,0.2499744607221653,2576.111420280462,0.9013131489409372,0.7009136486281913,0.9036144578313252
no_shared,proact_me,1,1,0.7458843596082715,0.3165399442048392,123.75592587890868,0.7658604687279696,0.713174379519913,0.7763217352010845
no_shared,proact_me,1,2,0.7383882398008045,0.1488375245139499,118.76539207630748,0.947713902998097,0.713174379519913,0.7763217352010845
no_shared,proact_me,1,3,0.6774501300954033,0.1775920706741815,148.3155275258809,0.5983738152047956,0.713174379519913,0.7763217352010845
no_shared,proact_me,1,4,0.7068564565178503,0.2022291939760198,136.86591509945654,0.0103532787925261,0.713174379519913,0.7763217352010845
no_shared,rotterdam_me,1,1,0.7046193348750319,0.186440829526701,1243.0937037564413,0.0045994210153997,0.7039947638850548,0.891566265060241
no_shared,rotterdam_me,1,2,0.7032585392353734,0.2564736593420733,2541.054231130101,0.9822764309081534,0.7039947638850548,0.891566265060241
with_shared,proact_me,2,1,0.738732836261627,0.3480219657303178,131.69451193376378,0.6341401149196606,0.7157337009467583,0.7578558225508318
with_shared,proact_me,2,2,0.7347097546379413,0.1545161918869981,116.68793795086388,0.8322570803252722,0.7157337009467583,0.7578558225508318
with_shared,proact_me,2,3,0.691292223792861,0.1708318620689169,136.09316375686376,0.731341261513297,0.7157337009467583,0.7578558225508318
with_shared,proact_me,2,4,0.709874563923661,0.1758291784571027,133.6919575352672,0.0865363736482987,0.7157337009467583,0.7578558225508318
with_shared,rotterdam_me,2,1,0.6724811564947011,0.2005844676608092,1302.4480812645918,0.5617035446987386,0.6833469412704719,0.9014925373134328
with_shared,rotterdam_me,2,2,0.695919155388542,0.2103127156564129,2414.6162735917787,0.9738698334489868,0.6833469412704719,0.9014925373134328
no_shared,proact_me,2,1,0.7328824007086963,0.3470236620270875,132.35633472689088,0.6661462831509122,0.7105358538317624,0.7555452865064695
no_shared,proact_me,2,2,0.7327588270496709,0.1526228413831444,115.40759486190358,0.8402517156186305,0.7105358538317624,0.7555452865064695
no_shared,proact_me,2,3,0.6781374798198657,0.1747666797254244,139.61733912349928,0.4013042136667839,0.7105358538317624,0.7555452865064695
no_shared,proact_me,2,4,0.7099964087830904,0.1737259472754256,131.21760930417065,0.2426336352410023,0.7105358538317624,0.7555452865064695
no_shared,rotterdam_me,2,1,0.6637065134224364,0.202227130102215,1338.0510862814965,0.8607390520235073,0.6817794815594259,0.7820895522388059
no_shared,rotterdam_me,2,2,0.7026907392233869,0.241922302645658,2684.613928916992,5.21328537641786e-28,0.6817794815594259,0.7820895522388059
with_shared,proact_me,3,1,0.715842469298452,0.3515647771448779,121.7980448171496,0.5603273569658651,0.6973175191113652,0.7615248226950354
with_shared,proact_me,3,2,0.7283220621038842,0.1624232208627383,99.10296341103732,0.9530332186386482,0.6973175191113652,0.7615248226950354
with_shared,proact_me,3,3,0.6588339062782703,0.1830732012973335,142.5120479248202,0.980122921275412,0.6973175191113652,0.7615248226950354
with_shared,proact_me,3,4,0.7004496054420095,0.1858970272665612,130.91608101433704,0.2127386628976856,0.6973175191113652,0.7615248226950354
with_shared,rotterdam_me,3,1,0.6779021001933095,0.1907596113470941,1252.8732031414063,0.8587602759146288,0.6898428401255862,0.8985074626865671
with_shared,rotterdam_me,3,2,0.7038954278608404,0.1810552998919768,2634.1663745773662,0.7307782417833129,0.6898428401255862,0.8985074626865671
no_shared,proact_me,3,1,0.7136121959252811,0.345626571821181,124.74876081734445,0.71552851097111,0.6964763516779131,0.7650709219858156
no_shared,proact_me,3,2,0.7302694472966753,0.1596824411040997,97.45746708366498,0.9988452187531672,0.6964763516779131,0.7650709219858156
no_shared,proact_me,3,3,0.6615252397322237,0.184841266678989,142.2638978653192,0.7485749734608005,0.6964763516779131,0.7650709219858156
no_shared,proact_me,3,4,0.6961811214918782,0.1853369664085196,129.64208714110595,0.779140026213246,0.6964763516779131,0.7650709219858156
no_shared,rotterdam_me,3,1,0.6919579961338095,0.1885339436311093,1204.07230569542,0.854753479111191,0.7047883057820132,0.8925373134328358
no_shared,rotterdam_me,3,2,0.7198877931692645,0.1789508956544266,2560.662776780007,0.9505968959069796,0.7047883057820132,0.8925373134328358
with_shared,proact_me,4,1,0.7369672191801095,0.3117589628327746,124.1000981710498,0.7626999114608735,0.7076831345471072,0.7596281540504648
with_shared,proact_me,4,2,0.7532489594835641,0.1412243748559959,106.13263330615712,0.9851278592229004,0.7076831345471072,0.7596281540504648
with_shared,proact_me,4,3,0.6778570993667803,0.1859940469475068,140.66483076916737,0.6603256141464277,0.7076831345471072,0.7596281540504648
with_shared,proact_me,4,4,0.6886513762631065,0.2039073342816364,144.7230323323301,0.6113232089927527,0.7076831345471072,0.7596281540504648
with_shared,rotterdam_me,4,1,0.6770091309415879,0.1961450772610099,1290.2875202270036,0.4758134126667159,0.6734506855681073,0.9181818181818182
with_shared,rotterdam_me,4,2,0.6693311842265558,0.2250508198715461,2374.573720179172,0.0970597791028594,0.6734506855681073,0.9181818181818182
no_shared,proact_me,4,1,0.7340073257362735,0.3059831488498047,119.56382465232032,0.9787343823618933,0.7027567386133123,0.7675962815405046
no_shared,proact_me,4,2,0.7453616628848091,0.138924692177586,107.013639041519,0.7576635157606625,0.7027567386133123,0.7675962815405046
no_shared,proact_me,4,3,0.6687393448611788,0.1871564980478133,140.30835954008202,0.8126183766928551,0.7027567386133123,0.7675962815405046
no_shared,proact_me,4,4,0.6874152117961787,0.2026583490520064,141.7359740912664,0.0884383420922805,0.7027567386133123,0.7675962815405046
no_shared,rotterdam_me,4,1,0.6950524543452921,0.193157176550521,1295.0397369664176,0.8176300188339845,0.6810903073655683,0.9090909090909092
no_shared,rotterdam_me,4,2,0.6649267648133744,0.2272996706011679,2390.326442045181,0.174914787947697,0.6810903073655683,0.9090909090909092
with_shared,proact_me,5,1,0.7522666411629686,0.3141111245544598,117.87706509287672,0.9900018016350473,0.7152914207495944,0.7736185383244206
with_shared,proact_me,5,2,0.7569257521259617,0.1499423202668199,109.0028027748932,0.9903576388421504,0.7152914207495944,0.7736185383244206
with_shared,proact_me,5,3,0.6781564047075564,0.1746479958603091,143.11180599538028,0.9937706858895634,0.7152914207495944,0.7736185383244206
with_shared,proact_me,5,4,0.7007455068518575,0.1796523408172064,131.58452502361783,0.0916415673195865,0.7152914207495944,0.7736185383244206
with_shared,rotterdam_me,5,1,0.6920070101194467,0.1810697020069461,1250.623316203238,0.9677201107749468,0.7005511461928317,0.926605504587156
with_shared,rotterdam_me,5,2,0.7105087298225798,0.2322875100129083,2608.2488119376594,0.39456518526166,0.7005511461928317,0.926605504587156
